;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.14.562 W007.10.02.884
N055.02.14.728 W007.10.02.703
N055.02.15.011 W007.10.02.493
N055.02.16.266 W007.10.01.597
N055.02.16.394 W007.10.01.525
N055.02.16.677 W007.10.01.460
N055.02.18.341 W007.10.01.207
N055.02.18.432 W007.10.01.134
N055.02.18.511 W007.10.00.982
N055.02.18.536 W007.10.00.816
N055.02.18.569 W007.10.00.613
N055.02.18.574 W007.10.00.374
N055.02.18.536 W007.10.00.099
N055.02.18.466 W007.09.59.910
N055.02.18.370 W007.09.59.765
N055.02.18.229 W007.09.59.707
N055.02.18.038 W007.09.59.765
N055.02.17.905 W007.09.59.787
N055.02.17.856 W007.09.59.678
N055.02.17.748 W007.09.59.208
N055.02.17.897 W007.09.59.186
N055.02.18.296 W007.09.59.215
N055.02.18.516 W007.09.59.186
N055.02.18.715 W007.09.59.077
N055.02.18.852 W007.09.58.933
N055.02.18.955 W007.09.58.828
N055.02.19.171 W007.09.58.430
N055.02.20.346 W007.09.56.257
N055.02.20.391 W007.09.56.033
N055.02.20.391 W007.09.55.866
N055.02.20.358 W007.09.55.707
N055.02.20.304 W007.09.55.569
N055.02.20.217 W007.09.55.460
N055.02.20.474 W007.09.54.700
N055.02.24.827 W007.09.58.759
N055.02.25.313 W007.09.59.121
N055.02.25.520 W007.09.59.172
N055.02.26.027 W007.09.59.205
N055.02.26.487 W007.09.59.169
N055.02.26.848 W007.09.59.111
N055.02.27.259 W007.09.59.061
N055.02.29.584 W007.09.58.799
N055.02.29.779 W007.09.58.589
N055.02.30.008 W007.09.58.256
N055.02.30.140 W007.09.58.046
N055.02.30.228 W007.09.57.864
N055.02.30.634 W007.09.57.039
N055.02.32.703 W007.09.45.290
N055.02.34.189 W007.09.36.724
N055.02.34.014 W007.09.35.991
N055.02.33.840 W007.09.35.506
N055.02.33.579 W007.09.35.126
N055.02.33.315 W007.09.34.844
N055.02.32.908 W007.09.34.528
N055.02.32.339 W007.09.34.235
N055.02.31.816 W007.09.34.010
N055.02.31.240 W007.09.33.806
N055.02.26.582 W007.09.31.854
N055.02.26.389 W007.09.31.415
N055.02.26.712 W007.09.29.069
N055.02.26.847 W007.09.29.667
N055.02.27.155 W007.09.30.217
N055.02.27.478 W007.09.30.650
N055.02.27.702 W007.09.30.879
N055.02.27.937 W007.09.31.050
N055.02.32.585 W007.09.32.962
N055.02.33.258 W007.09.33.147
N055.02.33.940 W007.09.33.161
N055.02.34.289 W007.09.33.057
N055.02.34.490 W007.09.32.870
N055.02.34.825 W007.09.32.473
N055.02.35.241 W007.09.32.997
N055.02.30.154 W007.10.01.282
N055.02.29.792 W007.10.00.340
N055.02.29.641 W007.10.00.015
N055.02.29.514 W007.09.59.833
N055.02.29.429 W007.09.59.717
N055.02.29.359 W007.09.59.656
N055.02.29.182 W007.09.59.645
N055.02.27.976 W007.09.59.772
N055.02.26.651 W007.09.59.958
N055.02.26.445 W007.10.00.151
N055.02.26.313 W007.10.00.360
N055.02.26.212 W007.10.00.575
N055.02.26.139 W007.10.00.796
N055.02.26.082 W007.10.01.016
N055.02.26.066 W007.10.01.286
N055.02.26.306 W007.10.10.165
N055.02.26.350 W007.10.10.612
N055.02.26.416 W007.10.10.860
N055.02.26.508 W007.10.11.086
N055.02.26.612 W007.10.11.284
N055.02.26.748 W007.10.11.461
N055.02.26.903 W007.10.11.593
N055.02.27.148 W007.10.11.750
N055.02.27.359 W007.10.11.800
N055.02.27.558 W007.10.11.772
N055.02.27.700 W007.10.11.701
N055.02.27.827 W007.10.11.618
N055.02.28.029 W007.10.11.453
N055.02.27.438 W007.10.14.788
N055.02.27.384 W007.10.14.204
N055.02.27.381 W007.10.13.956
N055.02.27.362 W007.10.13.625
N055.02.27.321 W007.10.13.305
N055.02.27.242 W007.10.13.041
N055.02.27.129 W007.10.12.792
N055.02.27.018 W007.10.12.616
N055.02.26.847 W007.10.12.450
N055.02.26.623 W007.10.12.301
N055.02.26.427 W007.10.12.064
N055.02.26.212 W007.10.11.711
N055.02.26.058 W007.10.11.375
N055.02.25.976 W007.10.11.127
N055.02.25.875 W007.10.10.660
N055.02.25.846 W007.10.10.158
N055.02.25.637 W007.10.03.778
