;DGX Perimeter
REGIONNAME St Athan
smrGDapron N051.24.25.287 W003.26.11.499
N051.24.26.235 W003.26.06.507
N051.24.26.235 W003.26.06.507
N051.24.28.171 W003.26.07.325
N051.24.28.171 W003.26.07.325
N051.24.27.237 W003.26.12.452
N051.24.27.237 W003.26.12.452
N051.24.25.287 W003.26.11.499

;Horizon West
REGIONNAME St Athan
smrmiltaxiway N051.24.14.222 W003.25.59.811
N051.24.14.209 W003.25.59.606
N051.24.14.173 W003.25.59.414
N051.24.14.120 W003.25.59.254
N051.24.14.046 W003.25.59.082
N051.24.13.627 W003.25.58.425
N051.24.13.511 W003.25.58.610
N051.24.12.800 W003.25.57.456
N051.24.12.044 W003.25.58.611
N051.24.11.491 W003.25.57.678
N051.24.12.222 W003.25.56.528
N051.24.11.856 W003.25.55.938
N051.24.11.973 W003.25.55.751
N051.24.11.800 W003.25.55.689
N051.24.11.544 W003.25.55.663
N051.24.11.363 W003.25.55.708
N051.24.11.386 W003.25.54.680
N051.24.12.620 W003.25.54.740
N051.24.12.581 W003.25.55.651
N051.24.12.596 W003.25.55.810
N051.24.12.650 W003.25.55.954
N051.24.13.634 W003.25.57.518
N051.24.13.740 W003.25.57.617
N051.24.13.894 W003.25.57.683
N051.24.14.078 W003.25.57.731
N051.24.14.250 W003.25.57.679
N051.24.14.446 W003.25.57.556
N051.24.14.625 W003.25.57.347
N051.24.14.732 W003.25.57.066
N051.24.14.220 W003.26.00.018

;Horizon East
REGIONNAME St Athan
smrmiltaxiway N051.24.11.216 W003.25.48.552
N051.24.12.029 W003.25.48.565
N051.24.12.776 W003.25.47.691
N051.24.12.845 W003.25.47.514
N051.24.12.870 W003.25.47.351
N051.24.12.875 W003.25.47.183
N051.24.12.856 W003.25.47.059
N051.24.13.536 W003.25.46.299
N051.24.14.288 W003.25.48.097
N051.24.13.493 W003.25.49.010
N051.24.13.339 W003.25.48.729
N051.24.13.190 W003.25.48.567
N051.24.12.980 W003.25.48.454
N051.24.12.782 W003.25.48.539
N051.24.12.703 W003.25.48.764
N051.24.12.695 W003.25.49.530
N051.24.11.211 W003.25.49.516

;Horizon Twy
REGIONNAME St Athan
smrmiltaxiway N051.24.15.528 W003.25.53.610
N051.24.15.519 W003.25.53.470
N051.24.15.498 W003.25.53.348
N051.24.15.456 W003.25.53.224
N051.24.15.387 W003.25.53.081
N051.24.15.251 W003.25.52.863
N051.24.14.881 W003.25.52.262
N051.24.14.741 W003.25.51.983
N051.24.14.596 W003.25.51.676
N051.24.14.459 W003.25.51.353
N051.24.14.201 W003.25.50.705
N051.24.13.488 W003.25.49.002
N051.24.13.810 W003.25.48.640
N051.24.14.868 W003.25.51.268
N051.24.15.012 W003.25.51.578
N051.24.15.259 W003.25.52.013
N051.24.15.382 W003.25.52.178
N051.24.15.523 W003.25.52.237
N051.24.15.669 W003.25.52.222
N051.24.15.867 W003.25.52.153
N051.24.16.002 W003.25.52.009
N051.24.15.483 W003.25.53.860

;Taxiway E F
REGIONNAME St Athan
smrmiltaxiway N051.24.13.223 W003.26.05.400
N051.24.31.824 W003.26.14.742
N051.24.31.375 W003.26.16.949
N051.24.12.941 W003.26.07.702

;Taxiway C
REGIONNAME St Athan
smrmiltaxiway N051.24.22.759 W003.26.23.681
N051.24.22.386 W003.26.23.767
N051.24.21.951 W003.26.23.815
N051.24.21.577 W003.26.23.862
N051.24.21.177 W003.26.23.888
N051.24.20.144 W003.26.23.807
N051.24.19.950 W003.26.23.772
N051.24.19.582 W003.26.23.712
N051.24.19.173 W003.26.23.635
