EGTK Oxford SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.55.24.873 W001.22.14.497 N051.55.13.479 W001.22.32.042
                            N051.55.13.479 W001.22.32.042 N051.55.03.071 W001.22.51.131
                            N051.55.03.071 W001.22.51.131 N051.54.53.728 W001.23.11.621
                            N051.54.53.728 W001.23.11.621 N051.54.45.521 W001.23.33.353
                            N051.54.45.521 W001.23.33.353 N051.54.38.512 W001.23.56.164
                            N051.54.38.512 W001.23.56.164 N051.54.32.755 W001.24.19.878
                            N051.54.32.755 W001.24.19.878 N051.54.28.294 W001.24.44.317
                            N051.54.28.294 W001.24.44.317 N051.54.25.163 W001.25.09.294
                            N051.54.25.163 W001.25.09.294 N051.54.23.384 W001.25.34.619
                            N051.54.23.384 W001.25.34.619 N051.54.22.973 W001.26.00.099
                            N051.54.22.973 W001.26.00.099 N051.54.23.932 W001.26.25.540
                            N051.54.23.932 W001.26.25.540 N051.54.26.254 W001.26.50.748
                            N051.54.26.254 W001.26.50.748 N051.54.29.921 W001.27.15.532
                            N051.54.29.921 W001.27.15.532 N051.54.34.905 W001.27.39.704
                            N051.54.34.905 W001.27.39.704 N051.54.41.168 W001.28.03.078
                            N051.54.41.168 W001.28.03.078 N051.54.48.663 W001.28.25.478
                            N051.54.48.663 W001.28.25.478 N051.54.57.333 W001.28.46.732
                            N051.54.57.333 W001.28.46.732 N051.55.07.111 W001.29.06.680
                            N051.55.07.111 W001.29.06.680 N051.55.17.923 W001.29.25.168
                            N051.55.17.923 W001.29.25.168 N051.55.29.687 W001.29.42.058
                            N051.55.29.687 W001.29.42.058 N051.55.42.314 W001.29.57.219
                            N051.55.42.314 W001.29.57.219 N051.55.55.707 W001.30.10.537
                            N051.55.55.707 W001.30.10.537 N051.56.09.764 W001.30.21.909
                            N051.56.09.764 W001.30.21.909 N051.56.23.749 W001.30.30.847
                            N051.56.23.749 W001.30.30.847 N051.56.39.613 W001.30.26.161
                            N051.56.39.613 W001.30.26.161 N051.57.20.342 W001.30.10.308
                            N051.57.20.342 W001.30.10.308 N051.58.00.064 W001.29.48.759
                            N051.58.00.064 W001.29.48.759 N051.58.38.477 W001.29.21.679
                            N051.58.38.477 W001.29.21.679 N051.59.15.287 W001.28.49.274
