;Airfield Boundary
N052.47.27.678 W002.40.11.462
N052.47.27.792 W002.40.12.550
N052.47.27.924 W002.40.13.434
N052.47.28.109 W002.40.14.153
N052.47.28.372 W002.40.14.811
N052.47.28.644 W002.40.15.390
N052.47.28.869 W002.40.15.898
N052.47.29.268 W002.40.16.631
N052.47.29.758 W002.40.17.440
N052.47.30.814 W002.40.18.909
N052.47.31.936 W002.40.20.492
N052.47.32.171 W002.40.20.902
N052.47.32.294 W002.40.21.154
N052.47.32.455 W002.40.21.526
N052.47.32.614 W002.40.21.972
N052.47.32.720 W002.40.22.434
N052.47.32.779 W002.40.22.768
N052.47.32.818 W002.40.23.328
N052.47.32.755 W002.40.28.198
N052.47.32.721 W002.40.28.597
N052.47.32.478 W002.40.30.217
N052.47.32.454 W002.40.30.569
N052.47.32.469 W002.40.30.914
N052.47.32.530 W002.40.31.300
N052.47.32.611 W002.40.31.635
N052.47.32.753 W002.40.31.991
N052.47.32.930 W002.40.32.297
N052.47.33.100 W002.40.32.546
N052.47.33.346 W002.40.32.763
N052.47.33.568 W002.40.32.900
N052.47.33.844 W002.40.32.970
N052.47.34.064 W002.40.32.949
N052.47.34.286 W002.40.32.897
N052.47.34.701 W002.40.32.619
N052.47.37.095 W002.40.32.024
N052.47.37.008 W002.40.32.350
N052.47.36.968 W002.40.32.738
N052.47.36.967 W002.40.33.086
N052.47.36.991 W002.40.33.544
N052.47.37.066 W002.40.33.942
N052.47.37.183 W002.40.34.256
N052.47.37.284 W002.40.34.460
N052.47.53.982 W002.40.34.327
N052.47.54.582 W002.40.34.312
N052.47.54.860 W002.40.34.274
N052.47.55.115 W002.40.34.172
N052.47.55.490 W002.40.33.962
N052.47.57.585 W002.40.32.306
N052.47.58.070 W002.40.31.899
N052.47.58.395 W002.40.31.602
N052.47.58.801 W002.40.31.090
N052.47.59.202 W002.40.30.529
N052.47.59.776 W002.40.29.696
N052.48.00.128 W002.40.29.198
N052.48.05.724 W002.40.18.321
N052.48.05.835 W002.40.18.068
N052.48.05.944 W002.40.17.743
N052.48.06.016 W002.40.17.450
N052.48.06.485 W002.40.14.571
N052.48.06.509 W002.40.14.115
N052.48.06.492 W002.40.13.784
N052.48.06.476 W002.40.13.548
N052.48.06.436 W002.40.13.429
N052.48.06.387 W002.40.13.389
N052.48.06.328 W002.40.13.412
N052.47.59.189 W002.40.27.272
N052.47.58.934 W002.40.27.680
N052.47.58.651 W002.40.27.958
