;Blue_Background
REGIONNAME Belfast City
smrBlue N054.40.39.960 W006.05.09.973
N054.36.42.532 W005.52.50.258
N054.36.42.556 W005.52.50.197
N054.36.42.602 W005.52.50.249
N054.36.42.595 W005.52.50.167
N054.36.42.637 W005.52.50.153
N054.36.42.659 W005.52.50.311
N054.36.42.752 W005.52.50.422
N054.36.42.727 W005.52.50.492
N054.36.42.668 W005.52.50.419
N054.36.42.673 W005.52.50.553

;Q_Disused_X_2
REGIONNAME Belfast City
smrWhite N054.36.50.180 W005.52.28.826
N054.36.50.145 W005.52.28.865
N054.36.50.095 W005.52.28.709
N054.36.50.032 W005.52.28.607
N054.36.50.050 W005.52.28.565
N054.36.50.092 W005.52.28.608
N054.36.50.084 W005.52.28.514
N054.36.50.107 W005.52.28.509
N054.36.50.141 W005.52.28.678
N054.36.50.215 W005.52.28.723
N054.36.50.207 W005.52.28.776
N054.36.50.160 W005.52.28.743

;Q_Disused_X_2
REGIONNAME Belfast City
smrWhite N054.36.49.911 W005.52.29.195
N054.36.49.860 W005.52.29.201
N054.36.49.846 W005.52.29.055
N054.36.49.766 W005.52.28.968
N054.36.49.787 W005.52.28.911
N054.36.49.829 W005.52.28.976
N054.36.49.822 W005.52.28.879
N054.36.49.857 W005.52.28.868
N054.36.49.882 W005.52.29.007
N054.36.49.965 W005.52.29.090
N054.36.49.940 W005.52.29.143
N054.36.49.893 W005.52.29.099

;Q_Disused_X_2
REGIONNAME Belfast City
smrWhite N054.36.49.640 W005.52.29.531
N054.36.49.606 W005.52.29.538
N054.36.49.580 W005.52.29.356
N054.36.49.499 W005.52.29.300
N054.36.49.515 W005.52.29.221
N054.36.49.570 W005.52.29.283
N054.36.49.560 W005.52.29.195
N054.36.49.600 W005.52.29.164
