;Airfield Boundary
N056.22.45.328 W002.51.30.361
N056.22.45.530 W002.51.30.299
N056.22.45.738 W002.51.30.148
N056.22.46.501 W002.51.29.144
N056.22.46.502 W002.51.28.520
N056.22.45.882 W002.51.26.574
N056.22.45.780 W002.51.26.267
N056.22.45.666 W002.51.25.949
N056.22.45.515 W002.51.25.638
N056.22.45.337 W002.51.25.328
N056.22.44.042 W002.51.23.302
N056.22.43.691 W002.51.23.398
N056.22.43.735 W002.51.24.095
N056.22.43.813 W002.51.25.783
N056.22.42.898 W002.51.25.820
N056.22.42.806 W002.51.24.543
N056.22.42.225 W002.51.24.619
N056.22.42.201 W002.51.23.238
N056.22.42.744 W002.51.23.146
N056.22.42.746 W002.51.23.440
N056.22.43.190 W002.51.23.159
N056.22.43.408 W002.51.22.638
N056.22.43.331 W002.51.22.194
N056.22.41.209 W002.51.18.940
N056.22.41.118 W002.51.18.917
N056.22.41.030 W002.51.18.927
N056.22.40.962 W002.51.18.951
N056.22.40.929 W002.51.19.013
N056.22.40.922 W002.51.19.144
N056.22.41.010 W002.51.21.864
N056.22.41.039 W002.51.22.046
N056.22.41.099 W002.51.22.205
N056.22.41.200 W002.51.22.452
N056.22.42.744 W002.51.26.059
N056.22.41.882 W002.51.27.256
N056.22.40.825 W002.51.24.422
N056.22.40.755 W002.51.24.232
N056.22.40.698 W002.51.23.992
N056.22.40.696 W002.51.23.820
N056.22.40.546 W002.51.18.585
N056.22.40.526 W002.51.18.300
N056.22.40.482 W002.51.18.063
N056.22.40.423 W002.51.17.895
N056.22.40.337 W002.51.17.718
N056.22.39.583 W002.51.16.581
N056.22.39.495 W002.51.16.543
N056.22.39.445 W002.51.16.584
N056.22.39.386 W002.51.16.654
N056.22.39.359 W002.51.16.857
N056.22.39.387 W002.51.17.023
N056.22.39.770 W002.51.17.904
N056.22.39.506 W002.51.20.167
N056.22.38.292 W002.51.19.547
N056.22.38.531 W002.51.17.696
N056.22.38.284 W002.51.16.397
N056.22.38.388 W002.51.15.582
N056.22.38.406 W002.51.15.345
N056.22.38.394 W002.51.15.163
N056.22.38.339 W002.51.14.902
N056.22.38.288 W002.51.14.678
N056.22.38.155 W002.51.14.494
N056.22.38.020 W002.51.14.420
N056.22.37.874 W002.51.14.416
N056.22.37.728 W002.51.14.496
N056.22.37.649 W002.51.14.605
N056.22.37.535 W002.51.14.795
N056.22.37.475 W002.51.14.939
N056.22.37.415 W002.51.15.517
N056.22.34.346 W002.51.54.141
N056.22.34.346 W002.51.54.341
N056.22.34.398 W002.51.54.514
N056.22.34.476 W002.51.54.663
N056.22.34.579 W002.51.54.777
N056.22.34.894 W002.51.54.894

;Taxiway South
REGIONNAME Leuchars
smrMilTaxiway N056.22.22.578 W002.52.52.628
N056.22.22.191 W002.52.52.218
N056.22.22.028 W002.52.52.015
N056.22.19.894 W002.52.46.894
N056.22.19.715 W002.52.46.522
N056.22.19.512 W002.52.46.141
N056.22.19.315 W002.52.45.799
N056.22.19.062 W002.52.45.432
N056.22.18.848 W002.52.45.119
N056.22.18.554 W002.52.44.786
N056.22.18.306 W002.52.44.509
N056.22.17.963 W002.52.44.220
N056.22.17.518 W002.52.43.900
N056.22.17.236 W002.52.43.717
N056.22.16.926 W002.52.43.554
N056.22.16.440 W002.52.43.399
N056.22.16.056 W002.52.43.311
N056.22.14.795 W002.52.43.237
