;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
;Western_Side_of_J
REGIONNAME Belfast Aldergrove
black N054.38.58.670 W006.13.43.155
N054.38.59.312 W006.13.43.536
N054.38.59.935 W006.13.42.966
N054.39.00.733 W006.13.43.142
N054.39.01.093 W006.13.44.136
N054.39.01.019 W006.13.45.386
N054.39.01.466 W006.13.46.148
N054.39.02.217 W006.13.46.148
N054.39.02.483 W006.13.47.061
N054.39.00.889 W006.13.46.766
N054.39.00.582 W006.13.46.154
N054.39.00.622 W006.13.43.368
N054.38.58.925 W006.13.44.605
N054.38.58.558 W006.13.44.305
N054.38.57.924 W006.13.42.367
N054.38.56.684 W006.13.43.161
N054.38.56.330 W006.13.42.920
N054.38.55.662 W006.13.40.704
N054.38.58.370 W006.13.42.014
;Taxiway_L
REGIONNAME Belfast Aldergrove
black N054.39.37.024 W006.12.42.352
N054.39.38.560 W006.12.39.685
N054.39.38.792 W006.12.40.376
N054.39.39.567 W006.12.40.719
N054.39.31.607 W006.13.13.612
N054.39.30.619 W006.13.13.028
N054.39.30.181 W006.13.13.163
N054.39.29.607 W006.13.13.608
N054.39.29.271 W006.13.14.185
N054.39.28.577 W006.13.13.721
;Main_Apron
REGIONNAME Belfast Aldergrove
black N054.39.39.640 W006.12.40.666
N054.39.40.211 W006.12.38.617
N054.39.40.356 W006.12.38.286
N054.39.40.503 W006.12.38.376
N054.39.40.292 W006.12.39.149
N054.39.44.315 W006.12.42.403
N054.39.44.479 W006.12.41.922
N054.39.44.786 W006.12.42.231
N054.39.44.634 W006.12.42.671
N054.39.45.439 W006.12.43.357
N054.39.43.477 W006.12.50.515
N054.39.43.726 W006.12.51.194
N054.39.40.539 W006.13.02.585
N054.39.37.710 W006.13.08.252
N054.39.37.278 W006.13.09.620
N054.39.38.271 W006.13.15.451
N054.39.38.318 W006.13.16.860
N054.39.38.603 W006.13.16.732
N054.39.38.809 W006.13.17.810
N054.39.37.881 W006.13.18.379
N054.39.35.585 W006.13.26.902
N054.39.35.234 W006.13.27.108
N054.39.32.127 W006.13.24.698
N054.39.31.885 W006.13.23.676
N054.39.31.020 W006.13.22.973
N054.39.30.966 W006.13.20.096
N054.39.31.388 W006.13.18.534
N054.39.31.193 W006.13.17.008
N054.39.31.614 W006.13.15.461
N054.39.33.687 W006.13.17.153
N054.39.33.797 W006.13.16.719
N054.39.33.682 W006.13.16.588
N054.39.33.833 W006.13.15.994
N054.39.33.689 W006.13.15.838
N054.39.33.743 W006.13.15.610
N054.39.33.523 W006.13.15.389
N054.39.33.527 W006.13.15.083
N054.39.31.581 W006.13.13.588
N054.39.39.534 W006.12.40.729
;GA__Apron
REGIONNAME Belfast Aldergrove
black N054.39.42.150 W006.12.31.649
N054.39.42.364 W006.12.30.961
N054.39.42.449 W006.12.31.019
N054.39.42.248 W006.12.31.728
N054.39.42.319 W006.12.31.761
N054.39.42.548 W006.12.31.409
N054.39.43.669 W006.12.27.444
N054.39.43.957 W006.12.27.567
N054.39.44.040 W006.12.27.544
N054.39.44.134 W006.12.27.337
N054.39.44.222 W006.12.26.990
N054.39.44.495 W006.12.27.183
N054.39.44.382 W006.12.27.559
N054.39.44.357 W006.12.27.794
N054.39.44.381 W006.12.27.923
N054.39.45.198 W006.12.28.587
N054.39.44.368 W006.12.31.561
N054.39.44.650 W006.12.31.785
N054.39.44.723 W006.12.31.556
