;Apron Outline
N055.52.39.159 W004.25.19.099
N055.52.38.995 W004.25.19.034
N055.52.38.800 W004.25.18.731
N055.52.38.420 W004.25.18.136
N055.52.38.268 W004.25.17.876
N055.52.37.989 W004.25.17.574
N055.52.37.655 W004.25.17.227
N055.52.37.388 W004.25.16.979
N055.52.37.102 W004.25.16.806
N055.52.36.811 W004.25.16.687
N055.52.36.532 W004.25.16.579
N055.52.36.228 W004.25.16.546
N055.52.35.997 W004.25.16.525
N055.52.35.797 W004.25.16.525
N055.52.35.718 W004.25.16.492
N055.52.35.663 W004.25.16.373
N055.52.35.706 W004.25.15.940
N055.52.36.610 W004.25.14.262
N055.52.38.173 W004.25.11.408
N055.52.38.592 W004.25.10.687
N055.52.39.144 W004.25.09.809
N055.52.39.527 W004.25.09.203
N055.52.39.873 W004.25.08.748
N055.52.40.195 W004.25.08.369
N055.52.40.559 W004.25.08.033
N055.52.40.984 W004.25.07.763
N055.52.41.300 W004.25.07.589
N055.52.41.803 W004.25.07.444
N055.52.42.289 W004.25.07.401
N055.52.42.696 W004.25.07.444
N055.52.43.060 W004.25.07.563
N055.52.43.443 W004.25.07.768
N055.52.43.813 W004.25.08.071
N055.52.44.023 W004.25.08.327
N055.52.44.181 W004.25.08.663
N055.52.44.290 W004.25.08.890
N055.52.44.351 W004.25.09.085
N055.52.44.369 W004.25.09.442
N055.52.44.365 W004.25.09.781
;Z Loop
REGIONNAME Glasgow 
smrSCOGrass N055.52.05.672 W004.26.40.924
N055.52.05.395 W004.26.40.934
N055.52.05.174 W004.26.40.934
N055.52.05.013 W004.26.40.924
N055.52.04.814 W004.26.40.874
N055.52.04.620 W004.26.40.786
N055.52.04.443 W004.26.40.687
N055.52.04.238 W004.26.40.489
N055.52.04.016 W004.26.40.203
N055.52.03.762 W004.26.39.789
N055.52.02.030 W004.26.36.837
N055.52.01.808 W004.26.36.353
N055.52.01.647 W004.26.35.988
N055.52.01.559 W004.26.35.712
N055.52.01.504 W004.26.35.445
N055.52.01.487 W004.26.35.209
N055.52.01.498 W004.26.35.001
N055.52.01.542 W004.26.34.824
N055.52.18.319 W004.26.03.440
N055.52.18.474 W004.26.03.578
N055.52.18.579 W004.26.03.765
N055.52.18.674 W004.26.04.012
N055.52.18.712 W004.26.04.387
N055.52.18.796 W004.26.14.562
N055.52.18.757 W004.26.14.838
N055.52.18.663 W004.26.15.104
N055.52.18.514 W004.26.15.262
N055.52.18.386 W004.26.15.341
N055.52.18.203 W004.26.15.322
N055.52.17.711 W004.26.15.065
N055.52.17.218 W004.26.17.562
N055.52.18.249 W004.26.18.185
N055.52.18.415 W004.26.18.323
N055.52.18.521 W004.26.18.501
N055.52.18.642 W004.26.18.767
N055.52.18.742 W004.26.19.113
N055.52.18.825 W004.26.19.498
N055.52.18.842 W004.26.19.922
N055.52.18.914 W004.26.38.768
N055.52.18.908 W004.26.39.202
N055.52.18.858 W004.26.39.547
N055.52.18.764 W004.26.39.903
N055.52.18.609 W004.26.40.209
N055.52.18.404 W004.26.40.446
N055.52.18.205 W004.26.40.574
N055.52.17.958 W004.26.40.679
;C Loop
REGIONNAME Glasgow 
smrSCOGrass N055.52.21.071 W004.25.53.223
N055.52.20.999 W004.25.53.242
N055.52.20.877 W004.25.53.293
N055.52.20.758 W004.25.53.248
N055.52.20.638 W004.25.53.152
N055.52.20.545 W004.25.53.043
N055.52.20.458 W004.25.52.920
N055.52.20.393 W004.25.52.772
N055.52.20.353 W004.25.52.625
N055.52.20.245 W004.25.51.685
N055.52.20.216 W004.25.51.203
N055.52.20.138 W004.25.50.834
N055.52.20.090 W004.25.39.635
N055.52.20.097 W004.25.39.321
N055.52.20.118 W004.25.38.920
N055.52.20.164 W004.25.38.638
N055.52.20.231 W004.25.38.350
N055.52.20.301 W004.25.38.087
N055.52.20.378 W004.25.37.905
N055.52.20.452 W004.25.37.736
N055.52.20.551 W004.25.37.561
N055.52.20.642 W004.25.37.442
N055.52.20.747 W004.25.37.310
N055.52.20.828 W004.25.37.216
N055.52.25.939 W004.25.33.870
N055.52.26.413 W004.25.33.463
N055.52.26.694 W004.25.33.243
N055.52.26.909 W004.25.33.074
N055.52.27.336 W004.25.32.746
N055.52.27.596 W004.25.32.527
N055.52.27.965 W004.25.32.145
N055.52.28.348 W004.25.31.719
N055.52.28.537 W004.25.31.526
N055.52.28.751 W004.25.31.306
N055.52.28.987 W004.25.31.037
N055.52.29.176 W004.25.30.811
N055.52.29.363 W004.25.30.554
N055.52.29.601 W004.25.30.247
N055.52.29.812 W004.25.29.953
N055.52.29.949 W004.25.29.777
N055.52.30.282 W004.25.29.279
N055.52.30.483 W004.25.28.972
N055.52.30.679 W004.25.28.690
N055.52.30.880 W004.25.28.339
N055.52.31.246 W004.25.27.740
N055.52.35.881 W004.25.20.237
N055.52.36.415 W004.25.19.416
N055.52.36.580 W004.25.19.203
N055.52.36.692 W004.25.19.084
N055.52.36.833 W004.25.19.046
N055.52.37.361 W004.25.19.104
N055.52.37.597 W004.25.19.117
N055.52.37.695 W004.25.19.154
N055.52.37.825 W004.25.19.229
N055.52.37.924 W004.25.19.298
N055.52.38.015 W004.25.19.405
N055.52.38.099 W004.25.19.517
N055.52.38.205 W004.25.19.793
N055.52.38.314 W004.25.20.131
N055.52.38.370 W004.25.20.432
N055.52.38.388 W004.25.20.695
N055.52.38.374 W004.25.20.896
N055.52.38.328 W004.25.21.052
N055.52.21.479 W004.25.52.566
;Terminal Building
REGIONNAME Glasgow 
terminal N055.51.51.428 W004.26.02.834
N055.51.50.006 W004.26.02.036
N055.51.53.134 W004.25.43.311
N055.51.54.378 W004.25.43.924
N055.51.54.062 W004.25.46.014
N055.51.54.978 W004.25.46.490
N055.51.54.430 W004.25.49.918
N055.51.54.626 W004.25.50.008
N055.51.54.351 W004.25.51.574
N055.51.57.189 W004.25.48.878
N055.52.01.882 W004.25.51.180
N055.52.01.695 W004.25.52.135
