;CRYSTAL PALACE AND WROTHAM MASTS
(LFP324)   N051.01.42.920 E002.11.20.881 N051.01.54.132 E002.11.07.209
(LFP324)   N051.01.54.132 E002.11.07.209 N051.02.04.552 E002.10.52.036
(LFP324)   N051.02.04.552 E002.10.52.036 N051.02.14.100 E002.10.35.478
(LFP324)   N051.02.14.100 E002.10.35.478 N051.02.22.703 E002.10.17.661
(LFP324)   N051.02.22.703 E002.10.17.661 N051.02.30.297 E002.09.58.720
(LFP324)   N051.02.30.297 E002.09.58.720 N051.02.36.823 E002.09.38.799
(LFP324)   N051.02.36.823 E002.09.38.799 N051.02.42.231 E002.09.18.050
(LFP324)   N051.02.42.231 E002.09.18.050 N051.02.46.481 E002.08.56.631
(LFP324)   N051.02.46.481 E002.08.56.631 N051.02.49.540 E002.08.34.705
(LFP324)   N051.02.49.540 E002.08.34.705 N051.02.51.384 E002.08.12.439
(LFP324)   N051.02.51.384 E002.08.12.439 N051.02.52.001 E002.07.50.002
(LFP324)   N051.02.52.001 E002.07.50.002 N051.02.51.384 E002.07.27.565
(LFP324)   N051.02.51.384 E002.07.27.565 N051.02.49.540 E002.07.05.298
(LFP324)   N051.02.49.540 E002.07.05.298 N051.02.46.481 E002.06.43.372
(LFP324)   N051.02.46.481 E002.06.43.372 N051.02.42.231 E002.06.21.953
(LFP324)   N051.02.42.231 E002.06.21.953 N051.02.36.823 E002.06.01.204
(LFP324)   N051.02.36.823 E002.06.01.204 N051.02.30.297 E002.05.41.284
(LFP324)   N051.02.30.297 E002.05.41.284 N051.02.22.703 E002.05.22.342
(LFP324)   N051.02.22.703 E002.05.22.342 N051.02.14.100 E002.05.04.525
(LFP324)   N051.02.14.100 E002.05.04.525 N051.02.04.552 E002.04.47.967
(LFP324)   N051.02.04.552 E002.04.47.967 N051.01.54.132 E002.04.32.794
(LFP324)   N051.01.54.132 E002.04.32.794 N051.01.42.920 E002.04.19.122
(LFP324)   N051.01.42.920 E002.04.19.122 N051.01.31.001 E002.04.07.056
(LFP324)   N051.01.31.001 E002.04.07.056 N051.01.18.465 E002.03.56.685
(LFP324)   N051.01.18.465 E002.03.56.685 N051.01.05.408 E002.03.48.091
(LFP324)   N051.01.05.408 E002.03.48.091 N051.00.51.929 E002.03.41.338
(LFP324)   N051.00.51.929 E002.03.41.338 N051.00.38.132 E002.03.36.477
(LFP324)   N051.00.38.132 E002.03.36.477 N051.00.24.120 E002.03.33.545
(LFP324)   N051.00.24.120 E002.03.33.545 N051.00.10.001 E002.03.32.566
(LFP324)   N051.00.10.001 E002.03.32.566 N050.59.55.882 E002.03.33.545
(LFP324)   N050.59.55.882 E002.03.33.545 N050.59.41.870 E002.03.36.477
(LFP324)   N050.59.41.870 E002.03.36.477 N050.59.28.072 E002.03.41.338
(LFP324)   N050.59.28.072 E002.03.41.338 N050.59.14.594 E002.03.48.091
(LFP324)   N050.59.14.594 E002.03.48.091 N050.59.01.537 E002.03.56.685
(LFP324)   N050.59.01.537 E002.03.56.685 N050.58.49.001 E002.04.07.056
(LFP324)   N050.58.49.001 E002.04.07.056 N050.58.37.081 E002.04.19.122
(LFP324)   N050.58.37.081 E002.04.19.122 N050.58.25.869 E002.04.32.794
