LAVRI N051.15.49.000 E000.34.49.000
LEDBO N052.32.35.090 E002.06.07.510
LEDGO N051.14.23.780 W007.34.04.650
LEGRO N053.19.34.860 E001.30.45.890
LEKCI N051.34.40.460 W002.53.14.660
LELDO N053.42.59.530 W004.05.07.000
LELNA N049.58.56.800 W002.06.23.420
LEMGU N052.24.21.560 W005.22.36.380
LESLU N051.00.00.000 W008.00.00.000
LESNI N057.32.33.140 W001.16.22.400
LESRA N055.23.07.980 E005.00.00.000
LESTA N052.44.27.090 W001.04.19.420
LIBBA N055.43.26.210 W003.44.43.210
LIBSO N053.31.29.330 E000.05.36.320
LIFFY N053.28.48.280 W005.30.00.000
LIFOX N049.52.20.460 W003.10.22.750
LIMKA N054.30.26.500 W005.13.11.220
LINDY N051.28.14.120 W001.02.57.190
LIPGO N053.03.50.130 W005.30.00.000
LISBO N054.31.30.000 W006.05.24.100
LISTO N053.08.35.930 W002.11.56.540
LIVSU N051.41.48.740 E000.50.57.720
LIZAD N049.35.25.240 W004.19.48.550
LOFFO N051.50.12.000 E000.35.56.370
LOGAN N051.44.51.320 E001.36.42.580
LOMON N056.03.45.570 W004.34.47.860
LOMVO N053.16.15.870 W005.10.45.820
LONAM N053.50.22.320 E003.56.33.030
LOREL N052.00.50.200 W000.03.09.520
LORKU N049.56.18.100 W002.22.15.640
LORTA N055.31.45.720 W003.56.30.830
LOVEL N053.15.06.000 W002.16.27.980
LUCCO N055.20.48.540 W004.33.41.110
LUCSA N052.37.06.600 W002.56.56.180
LUFMA N051.04.48.010 W003.14.38.160
LUGIS N050.00.00.000 W000.52.20.100
LULOX N050.22.00.000 W008.00.00.000
LUSEN N060.30.00.000 W010.00.00.000
LUSIV N055.40.01.540 W004.14.40.500
LUSOD N053.56.22.700 W004.19.26.370
LUTIP N053.15.21.890 W004.44.15.590
LUTOV N055.14.21.660 W010.00.00.000
LUXIV N051.05.10.630 W000.46.57.060
LUXTO N052.08.30.660 W002.03.38.380
LYNAS N053.26.33.020 W004.20.00.000
MADAD N055.54.47.350 W001.44.02.480
MAGEE N054.47.29.530 W005.36.30.020
MAKUX N053.58.29.900 W004.52.27.890
MALUD N053.24.48.170 W003.36.30.300
MAMUL N053.25.05.200 W001.16.48.450
MANGO N051.41.33.880 E000.47.25.580
MANIG N049.47.07.010 W003.15.33.720
MARUK N050.14.46.560 W002.04.20.410
MASOP N054.09.21.020 W004.21.15.260
MATCH N051.46.45.200 E000.15.00.000
MATIK N061.00.00.000 W008.04.00.000
MATUT N054.10.17.230 W004.38.21.890
MAVET N054.02.57.000 W003.31.04.000
MAXIT N051.14.59.080 W000.33.42.830
