;Airport Boundary
N055.56.52.268 W003.20.56.015
;F_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.57.01.592 W003.21.52.787
N055.57.01.545 W003.21.53.407
N055.57.01.301 W003.21.54.640
N055.57.00.975 W003.21.55.953
N055.57.00.609 W003.21.57.208
N055.56.59.887 W003.21.59.372
N055.56.59.332 W003.22.00.800
N055.56.58.897 W003.22.01.878
N055.56.58.572 W003.22.02.557
N055.56.58.278 W003.22.03.102
N055.56.58.015 W003.22.03.513
N055.56.57.676 W003.22.03.879
N055.56.57.491 W003.22.03.993
N055.56.57.312 W003.22.04.049
N055.56.57.248 W003.22.03.765
N055.56.57.228 W003.22.03.059
N055.56.57.279 W003.22.02.294
N055.56.57.458 W003.22.01.266
N055.56.57.797 W003.21.59.861
N055.56.58.021 W003.21.59.152
N055.56.58.591 W003.21.57.324
N055.56.59.289 W003.21.55.278
N055.56.59.930 W003.21.53.733
N055.57.00.494 W003.21.52.611
N055.57.00.934 W003.21.51.962
N055.57.01.235 W003.21.51.711
N055.57.01.388 W003.21.51.631
N055.57.01.516 W003.21.51.608
N055.57.01.612 W003.21.52.077
;Fire_Station_Loop
REGIONNAME Edinburgh
smrSCOGrass N055.56.49.381 W003.22.30.082
N055.56.49.204 W003.22.30.070
N055.56.49.028 W003.22.29.887
N055.56.48.915 W003.22.29.595
N055.56.48.894 W003.22.29.227
N055.56.48.929 W003.22.28.981
N055.56.50.083 W003.22.25.521
N055.56.50.380 W003.22.26.141
N055.56.50.487 W003.22.27.087
N055.56.49.526 W003.22.29.932
;South_East_Pier_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.56.50.872 W003.21.24.105
N055.56.50.928 W003.21.24.282
N055.56.49.497 W003.21.25.705
N055.56.50.709 W003.21.29.631
N055.56.50.826 W003.21.30.121
N055.56.50.844 W003.21.30.502
N055.56.50.830 W003.21.30.817
N055.56.50.762 W003.21.31.123
N055.56.50.555 W003.21.31.452
N055.56.50.409 W003.21.31.531
N055.56.50.148 W003.21.31.523
N055.56.49.885 W003.21.31.310
N055.56.49.264 W003.21.29.586
N055.56.49.215 W003.21.29.320
N055.56.49.240 W003.21.29.074
N055.56.49.348 W003.21.28.566
N055.56.49.373 W003.21.28.218
N055.56.49.360 W003.21.27.823
N055.56.49.270 W003.21.27.445
N055.56.48.486 W003.21.25.054
N055.56.48.435 W003.21.24.787
N055.56.48.438 W003.21.24.451
N055.56.49.205 W003.21.20.513
N055.56.49.968 W003.21.19.794
N055.56.49.593 W003.21.18.512
N055.56.47.700 W003.21.12.451
N055.56.47.461 W003.21.12.696
N055.56.47.339 W003.21.12.257
N055.56.47.837 W003.21.11.780
N055.56.51.453 W003.21.23.525
;Stand_46_Grass
REGIONNAME Edinburgh
smrSCOGrass N055.56.59.924 W003.20.38.827
N055.57.00.066 W003.20.39.025
N055.57.00.131 W003.20.39.387
N055.57.00.104 W003.20.39.758
N055.56.59.954 W003.20.40.343
N055.56.59.551 W003.20.41.589
N055.56.59.461 W003.20.41.920
N055.56.59.427 W003.20.42.329
N055.56.59.338 W003.20.45.370
N055.56.56.734 W003.20.47.875
N055.56.56.548 W003.20.47.304
N055.56.56.412 W003.20.47.408
N055.56.56.130 W003.20.46.496
N055.56.55.418 W003.20.47.174
N055.56.56.229 W003.20.49.830
N055.56.56.186 W003.20.49.866
N055.56.56.514 W003.20.51.132
